TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG,REMINDER_TYPE,REMINDER_OFFSET,REMINDER_DATE,REMINDER_DATE_LANG
meta,view_style=list,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
task,"Убрать лишние модели пайдентик в рест-слое, подгружать их из ядра",,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,"Инициализировать базу один раз на все тесты каким-нибудь test-ini.sql, чтобы по 500 раз не загонять тестовые данные",,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Добавить пагинацию к выводу по ресту /info/spells/available,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Рефакторинг структуры,"+Убрать дублирование моделей пайдентик в ядре и rest-модуле, первичны и единственны должны быть модельки ядра
Навести порядок в dto, ввести dto везде где передается больше одного параметра между функциями и нужна валидация переданных значений. В то же время убрать явное наследование, если оно есть - нам не нужна валидация на входе так как ее проведет сама моделька при подгрузке данных
Между rest и ядром всегда будет схема:

- в ядро передаются голые параметры
- из ядра возвращается моделька / коллекция моделек
    Почитать плотнее про домены - возможно модельки ядра и есть домены, в таком случае все надо переименовать и привести в порядок",,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
,,,,,,,,,,,,,,,,,,
section,v0.0.1 - подготовка,,True,,,,,,,,,,,,,,,
task,Составить диаграмму классов,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Развернуть проект (fast api + сервер + бд справочников + бд приложения + миграции + модельки sqlalchemy + докер + pytest),В дальнейшем - CI с запуском тестов и сборке по коммиту,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Подключить линтер и добавить его в хук для гита,,,4,2,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Разобраться с git template для срабатывания при git clone,,,4,2,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,"Посмотреть есть ли контейнерный репозиторий у github, если есть, настроить пуш туда по хуку после сборки и коммита в main и dev",,,4,2,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Добавить разные dockerfile для локальной разработки и для отправки в удаленный репозиторий,,,4,2,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Подрубить логгер в инит-файле,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,"Докинуть хук для гита, что если изменен файл с моделями, должна обязательно быть новая миграция",,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
,,,,,,,,,,,,,,,,,,
section,v0.2.0 - изучение и подготовка заклинаний,,False,,,,,,,,,,,,,,,
task,TODO: Забить статичную инфу о бонусе мастерства в коде (нет смысла из бд тащить),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,"Добавить в ответ инфы о кастере, что он может делать (изучать/готовить заклинания или и то и то)",,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Составить диаграмму классов ядра и провести рефакторинг,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Получение списка доступных заклинаний для изучения (/{id}/spells/learn),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Изучение заклинаний (POST /{id}/spells/learn),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Получение списка доступных заклинаний для подготовки (/{id}/spells/prepare),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Подготовка заклинаний (POST /{id}/spells/prepare),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Получение заклинаний для использования (/{id}/spells/use),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Получение количества заклинаний (/{id}/spells/count),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
,,,,,,,,,,,,,,,,,,
section,v0.3.0 - повышение уровня (без мультикласса),,True,,,,,,,,,,,,,,,
task,Повышение уровня (один класс),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,"Изменение значения характеристики (отдельно от повышения уровня, тк характеристика может быть повышена не в классе кастера)",,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,"Вписать куда-то проверку на то, что значение ведущей характеристики для класса (или мультикласса) должно быть не меньше 13",,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
,,,,,,,,,,,,,,,,,,
section,v0.4.0 - заговоры,,True,,,,,,,,,,,,,,,
task,Изучение заговоров,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Замена заговоров при повышении уровня,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
,,,,,,,,,,,,,,,,,,
section,v0.5.0 - мультикласс,,True,,,,,,,,,,,,,,,
task,Добавление уровня нового класса к существующему персонажу,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,-- Повышение уровня (мультикласс),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,-- Получение списка доступных заклинаний (мультикласс),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,-- Получение количества и уровней ячеек (мультикласс),,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
,,,,,,,,,,,,,,,,,,
section,v0.6.0 - инфо-методы,,True,,,,,,,,,,,,,,,
task,Ведущие характеристики для классов и подклассов,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,"Ячейки для класса, подкласса и уровня",,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
,,,,,,,,,,,,,,,,,,
section,v0.7.0 - заклинания,,True,,,,,,,,,,,,,,,
task,Переработать и дополнить схему БД,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Перезалить заклинания,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Добавление заклинания,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Удаление заклинания,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Получение инфы по заклинанию,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
,,,,,,,,,,,,,,,,,,
section,v0.8.0 - выборка заклинаний,,True,,,,,,,,,,,,,,,
task,Формирование списка заклинаний,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
task,Фильтрация заклинаний,,,4,1,Екатерина (32780078),,,,Europe/Moscow,,,,,,,,
,,,,,,,,,,,,,,,,,,
section,v1.0.0 - первый релиз!,,True,,,,,,,,,,,,,,,
